"subject","predicate","object"
"https://w3id.org/arco/resource/AccessProfile/1300065937-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086561-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086648-2-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086658-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086870-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086881-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086928-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086937-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086940-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086949-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086959-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086965-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300086968-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087020-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087025-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087029-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087040-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087045-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087049-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087052-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087056-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087064-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087068-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087080-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087978-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300087981-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088516-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088519-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088522-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088525-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088534-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088540-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088545-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088555-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088598-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088607-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088631-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088643-0-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088646-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088647-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088647-7-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088649-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088656-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088661-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300088664-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
